iter	Passed	Remaining
400	23155	34589
401	23209	34525
402	23288	34499
403	23341	34434
404	23397	34374
405	23456	34317
406	23516	34263
407	23575	34207
408	23630	34146
409	23688	34087
410	23737	34018
411	23793	33957
412	23849	33897
413	23906	33839
414	23975	33796
415	24034	33740
416	24091	33682
417	24151	33627
418	24208	33568
419	24267	33512
420	24330	33461
421	24391	33407
422	24448	33349
423	24509	33296
424	24566	33237
425	24617	33169
426	24667	33102
427	24719	33036
428	24775	32976
429	24828	32911
430	24885	32853
431	24938	32789
432	24994	32729
433	25050	32669
434	25106	32610
435	25171	32560
436	25228	32502
437	25285	32443
438	25341	32384
439	25400	32328
440	25454	32265
441	25508	32202
442	25565	32144
443	25621	32084
444	25682	32030
445	25741	31975
446	25797	31915
447	25849	31849
448	25903	31788
449	25958	31727
450	26009	31661
451	26061	31596
452	26116	31535
453	26170	31474
454	26227	31414
455	26285	31358
456	26343	31300
457	26451	31303
458	26516	31253
459	26572	31194
460	26627	31132
461	26683	31073
462	26740	31013
463	26796	30954
464	26849	30891
465	26906	30832
466	26960	30770
467	27013	30707
468	27071	30650
469	27127	30590
470	27189	30538
471	27242	30474
472	27303	30420
473	27382	30386
474	27442	30331
475	27502	30275
476	27558	30216
477	27627	30171
478	27686	30114
479	27741	30053
480	27793	29988
481	27850	29930
482	27906	29870
483	27964	29813
484	28028	29762
485	28081	29699
486	28138	29640
487	28196	29582
488	28252	29523
489	28310	29466
490	28373	29413
491	28458	29383
492	28514	29324
493	28580	29274
494	28637	29216
495	28689	29152
496	28749	29096
497	28807	29038
498	28873	28989
499	28929	28929
500	28982	28866
501	29038	28806
502	29091	28744
503	29145	28683
504	29202	28624
505	29269	28575
506	29330	28520
507	29389	28463
508	29440	28399
509	29498	28342
510	29550	28277
511	29608	28221
512	29669	28165
513	29730	28111
514	29792	28057
515	29852	28001
516	29905	27938
517	29958	27876
518	30008	27811
519	30065	27752
520	30121	27692
521	30173	27629
522	30231	27572
523	30284	27510
524	30345	27455
525	30403	27398
526	30467	27345
527	30524	27286
528	30579	27226
529	30633	27165
530	30691	27108
531	30746	27047
532	30800	26986
533	30860	26931
534	30920	26875
535	30983	26821
536	31042	26764
537	31099	26705
538	31157	26648
539	31209	26586
540	31267	26528
541	31319	26465
542	31371	26402
543	31426	26342
544	31482	26283
545	31535	26221
546	31597	26167
547	31673	26124
548	31734	26069
549	31790	26010
550	31851	25955
551	31909	25897
552	31960	25833
553	32016	25775
554	32080	25722
555	32141	25667
556	32195	25606
557	32248	25544
558	32299	25481
559	32358	25424
560	32414	25365
561	32480	25313
562	32535	25254
563	32589	25193
564	32641	25130
565	32703	25076
566	32760	25017
567	32840	24977
568	32896	24918
569	32947	24855
570	33005	24797
571	33062	24738
572	33116	24678
573	33174	24621
574	33230	24561
575	33294	24508
576	33347	24447
577	33405	24389
578	33463	24331
579	33521	24274
580	33577	24215
581	33637	24158
582	33702	24106
583	33773	24057
584	33830	23999
585	33889	23942
586	33946	23883
587	33996	23820
588	34048	23758
589	34101	23697
590	34158	23639
591	34214	23580
592	34272	23522
593	34328	23463
594	34382	23403
595	34435	23342
596	34490	23282
597	34551	23227
598	34604	23165
599	34657	23104
600	34716	23047
601	34787	22998
602	34863	22953
603	34931	22902
604	34986	22842
605	35040	22782
606	35095	22722
607	35152	22664
608	35211	22606
609	35262	22545
610	35328	22492
611	35387	22434
612	35445	22377
613	35500	22317
614	35556	22259
615	35615	22201
616	35670	22142
617	35727	22083
618	35783	22025
619	35837	21965
620	35897	21908
621	35955	21850
622	36032	21804
623	36088	21745
624	36146	21688
625	36201	21628
626	36255	21568
627	36312	21509
628	36366	21450
629	36423	21391
630	36478	21332
631	36533	21272
632	36587	21212
633	36645	21154
634	36709	21100
635	36765	21041
636	36820	20982
637	36875	20922
638	36953	20876
639	37014	20820
640	37073	20763
641	37134	20707
642	37193	20650
643	37251	20592
644	37301	20530
645	37356	20470
646	37412	20412
647	37472	20355
648	37534	20299
649	37591	20241
650	37648	20183
651	37704	20124
652	37766	20069
653	37823	20010
654	37890	19957
655	37948	19899
656	38004	19840
657	38062	19783
658	38128	19729
659	38188	19672
660	38247	19615
661	38306	19558
662	38364	19500
663	38415	19438
664	38471	19380
665	38531	19323
666	38591	19266
667	38648	19208
668	38710	19152
669	38767	19094
670	38820	19034
671	38877	18976
672	38936	18918
673	38991	18859
674	39044	18799
675	39113	18746
676	39196	18700
677	39255	18643
678	39308	18583
679	39372	18528
680	39425	18468
681	39479	18408
682	39538	18351
683	39596	18293
684	39649	18233
685	39708	18175
686	39776	18122
687	39833	18064
688	39895	18007
689	39946	17947
690	40000	17887
691	40056	17828
692	40112	17769
693	40179	17715
694	40235	17657
695	40306	17605
696	40367	17548
697	40426	17490
698	40478	17430
699	40529	17369
700	40588	17312
701	40644	17253
702	40696	17193
703	40757	17136
704	40817	17079
705	40871	17020
706	40929	16962
707	40997	16908
708	41057	16851
709	41111	16792
710	41167	16733
711	41226	16675
712	41280	16616
713	41339	16558
714	41398	16501
715	41449	16440
716	41500	16380
717	41552	16319
718	41610	16262
719	41672	16205
720	41732	16148
721	41789	16090
722	41847	16032
723	41908	15976
724	41966	15918
725	42023	15860
726	42078	15801
727	42136	15743
728	42198	15686
729	42278	15637
730	42337	15579
731	42398	15522
732	42456	15465
733	42514	15407
734	42569	15348
735	42624	15289
736	42680	15230
737	42737	15172
738	42802	15117
739	42860	15059
740	42923	15003
741	42983	14945
742	43058	14893
743	43115	14835
744	43182	14780
745	43241	14723
746	43305	14667
747	43367	14610
748	43440	14557
749	43509	14503
750	43568	14445
751	43620	14385
752	43674	14326
753	43732	14268
754	43800	14213
755	43871	14159
756	43925	14100
757	43992	14045
758	44065	13991
759	44125	13934
760	44182	13876
761	44239	13817
762	44302	13761
763	44374	13707
764	44440	13651
765	44502	13594
766	44556	13535
767	44614	13477
768	44690	13424
769	44755	13368
770	44813	13310
771	44871	13252
772	44927	13193
773	44997	13138
774	45074	13086
775	45130	13027
776	45189	12969
777	45239	12909
778	45293	12849
779	45354	12792
780	45417	12735
781	45502	12684
782	45560	12626
783	45617	12568
784	45671	12508
785	45722	12448
786	45784	12391
787	45852	12336
788	45913	12278
789	45974	12221
790	46033	12162
791	46082	12102
792	46147	12046
793	46210	11989
794	46291	11936
795	46396	11890
796	46460	11833
797	46547	11782
798	46651	11735
799	46732	11683
800	46794	11625
801	46876	11573
802	46955	11519
803	47011	11460
804	47066	11401
805	47144	11347
806	47208	11290
807	47263	11231
808	47317	11171
809	47375	11112
810	47437	11054
811	47489	10995
812	47547	10936
813	47622	10881
814	47730	10834
815	47841	10787
816	47935	10737
817	48011	10682
818	48125	10635
819	48292	10600
820	48368	10545
821	48480	10498
822	48568	10445
823	48622	10385
824	48683	10326
825	48741	10267
826	48796	10207
827	48869	10151
828	48936	10094
829	48990	10034
830	49041	9973
831	49090	9912
832	49143	9852
833	49197	9792
834	49244	9730
835	49291	9669
836	49350	9610
837	49407	9551
838	49468	9492
839	49518	9432
840	49568	9371
841	49620	9311
842	49669	9250
843	49724	9190
844	49786	9132
845	49836	9071
846	49898	9013
847	49959	8955
848	50019	8896
849	50068	8835
850	50119	8775
851	50165	8714
852	50218	8654
853	50268	8593
854	50319	8533
855	50369	8473
856	50416	8412
857	50468	8352
858	50527	8293
859	50593	8236
860	50650	8176
861	50708	8118
862	50760	8058
863	50819	7999
864	50872	7939
865	50927	7880
866	50984	7821
867	51033	7760
868	51082	7700
869	51130	7640
870	51192	7581
871	51252	7523
872	51309	7464
873	51358	7404
874	51412	7344
875	51461	7284
876	51513	7224
877	51561	7164
878	51613	7104
879	51663	7045
880	51718	6985
881	51771	6926
882	51831	6867
883	51901	6810
884	51961	6752
885	52023	6693
886	52077	6634
887	52140	6576
888	52198	6517
889	52260	6459
890	52309	6399
891	52369	6340
892	52426	6281
893	52482	6222
894	52530	6162
895	52576	6102
896	52631	6043
897	52681	5983
898	52741	5925
899	52800	5866
900	52856	5807
901	52907	5748
902	52967	5689
903	53016	5630
904	53081	5572
905	53141	5513
906	53199	5454
907	53259	5396
908	53312	5337
909	53366	5278
910	53434	5220
911	53545	5166
912	53692	5116
913	53815	5063
914	53878	5005
915	53934	4945
916	53992	4887
917	54062	4829
918	54132	4771
919	54195	4712
920	54245	4652
921	54298	4593
922	54353	4534
923	54408	4475
924	54468	4416
925	54523	4357
926	54580	4298
927	54636	4239
928	54696	4180
929	54749	4120
930	54805	4061
931	54859	4002
932	54913	3943
933	54966	3884
934	55018	3824
935	55084	3766
936	55151	3708
937	55229	3650
938	55280	3591
939	55335	3532
940	55386	3472
941	55437	3413
942	55510	3355
943	55581	3297
944	55644	3238
945	55708	3179
946	55778	3121
947	55840	3062
948	55901	3004
949	55960	2945
950	56019	2886
951	56074	2827
952	56135	2768
953	56187	2709
954	56237	2649
955	56310	2591
956	56374	2533
957	56436	2474
958	56502	2415
959	56559	2356
960	56613	2297
961	56664	2238
962	56721	2179
963	56775	2120
964	56846	2061
965	56902	2002
966	56957	1943
967	57015	1884
968	57077	1826
969	57137	1767
970	57194	1708
971	57253	1649
972	57313	1590
973	57386	1531
974	57443	1472
975	57500	1413
976	57564	1355
977	57627	1296
978	57690	1237
979	57741	1178
980	57796	1119
981	57848	1060
982	57912	1001
983	57975	942
984	58039	883
985	58093	824
986	58156	765
987	58212	707
988	58274	648
989	58346	589
990	58418	530
991	58478	471
992	58542	412
993	58604	353
994	58662	294
995	58715	235
996	58777	176
997	58841	117
998	58892	58
999	58944	0
